Mnemonic,Long Name,Issuer Name,Security Type,Ticker,Asset_Class
USML,INVESCO S&P SMALLCAP 600 UCITS ETF,INVESCO MARKETS PLC,SP,USML.L,Global Equity
BCHN,IVZ ELWOOD BLOCKCHAIN UCITS ETF GBX,INVESCO MARKETS II PLC,SP,BCHN.L,Alternatives
SPXD,INVESCO S&P 500 UCITS ETF DIST,INVESCO MARKETS PLC,SP,SPXD.L,Global Equity
ESGW,IVZ MSCI WORLD ESG UNI SCREEN UCITS ETF,INVESCO MARKETS II PLC,SP,ESGW.L,Global Equity
ESGU,IVZ MSCI USA ESG UNI SCREEN UCITS ETF,INVESCO MARKETS II PLC,SP,ESGU.L,Global Equity
ESGE,IVZ MSCI EUR ESG UNI SCREEN UCITS ETF,INVESCO MARKETS II PLC,SP,ESGE.L,Global Equity
IQSA,IQS ESG GBL EQUITY MULTIFACTOR UCITS ETF,INVESCO MARKETS II PLC,SP,IQSA.L,Global Equity
MKUW,INVESCO MSCI KUWAIT UCITS ETF,INVESCO MARKETS PLC,SP,MKUW.L,Global Equity
XZEM,XTRACKERS MSCI EMERG. MKTS ESG UCITS ETF,XTRACKERS (IE) PLC,SP,XZEM.L,Global Equity
MXUD,INVESCO MSCI USA UCITS ETF DIST,INVESCO MARKETS PLC,SP,MXUD.L,Global Equity
PUIP,INVESCO USD CORP BOND UCITS ETF GBH DIST,INVESCO MARKETS II PLC,SP,PUIP.L,Fixed Income
IGBE,IVZ GBP CORP BOND ESG UCITS ETF DIST,INVESCO MARKETS II PLC,SP,IGBE.L,Fixed Income
SPXE,IVZ S&P 500 ESG UCITS ETF ACC,INVESCO MARKETS PLC,SP,SPXE.L,Global Equity
IGCB,IVZ GBP CORP BOND UCITS ETF DIST,INVESCO MARKETS II PLC,SP,IGCB.L,Fixed Income
USMV,OSSIAM ETF US MINIMUM VARIANCE NR - USD,OSSIAM IRL ICAV,SP,USMV.L,Global Equity
G500,INVESCO S&P 500 UCITS ETF GBP HDG ACC,INVESCO MARKETS PLC,SP,G500.L,Global Equity
ISF,ISHARES CORE FTSE100 UCITS ETF GBP(DIST),ISHARES PLC,SP,ISF.L,UK Equity
EUN,ISHRS STOXX EUROPE 50 UCITS ETF EUR DIST,ISHARES II PLC,SP,EUN.L,Global Equity
EUE,ISHRS EURO STOXX 50 UCITS ETF EUR (DIST),ISHARES II PLC,SP,EUE.L,Global Equity
IUSA,ISHARES S&P 500 UCITS ETF USD (DIST),ISHARES PLC,SP,IUSA.L,Global Equity
SLXX,ISHARES CRE £ CORP BD UCITS ETF GBP DIST,ISHARES PLC,SP,SLXX.L,Fixed Income
MIDD,ISHARES FTSE 250 UCITS ETF GBP (DIST),ISHARES PLC,SP,MIDD.L,Global Equity
DJMC,ISHARES EUR STOXX MID UCITS ETF EUR DIST,ISHARES PLC,SP,DJMC.L,Global Equity
DJSC,ISHARES EUR STOXX SML UCITS ETF EUR DIST,ISHARES PLC,SP,DJSC.L,Global Equity
IDVY,ISHARES EURO DIVIDEND UCITS ETF EUR DIST,ISHARES PLC,SP,IDVY.L,Global Equity
IDJV,ISHARES EUR VAL. LGE UCITS ETF EUR DIST,ISHARES PLC,SP,IDJV.L,Global Equity
IDJG,ISHARES EUR GWTH LGE UCITS ETF EUR DIST,ISHARES PLC,SP,IDJG.L,Global Equity
IAEX,ISHARES AEX UCITS ETF EUR (DIST),ISHARES PLC,SP,IAEX.L,Global Equity
IUKD,ISHARES UK DIVIDEND UCITS ETF GBP (DIST),ISHARES PLC,SP,IUKD.L,Global Equity
IPRP,ISHARES EURO PTY YLD UCITS ETF EUR DIST,ISHARES PLC,SP,IPRP.L,Global Equity
INAA,ISHS MSCI N.AMERICA UCITS ETF USD DIST,ISHARES PLC,SP,INAA.L,Global Equity
IEUX,ISHS MSCI EURO EX-UK UCITS ETF EUR DIST,ISHARES PLC,SP,IEUX.L,Global Equity
IBGS,ISHARES EUR GV BD 1-3 UCITS ETF EUR DIST,ISHARES PLC,SP,IBGS.L,Fixed Income
IBTS,ISHARES $TRES.BD1-3YR UCITS ETF USD DIST,ISHARES PLC,SP,IBTS.L,Global Equity
INFR,ISHRS GLOBAL INFRA UCITS ETF USD (DIST),ISHARES II PLC,SP,INFR.L,Global Equity
IBGX,ISHRS EUR GOVT BOND 3-5YR ETF EUR (DIST),ISHARES II PLC,SP,IBGX.L,Fixed Income
IBTM,ISHRS $ TREAS BOND 7-10YR ETF USD (DIST),ISHARES II PLC,SP,IBTM.L,Fixed Income
IBGM,ISHRS E GOVT BOND 7-10YR ETF EUR (DIST),ISHARES II PLC,SP,IBGM.L,Fixed Income
IBGL,ISHRS EUR GOVT BOND 15-30YR ETF EUR DIST,ISHARES II PLC,SP,IBGL.L,Fixed Income
IGLT,ISHRS CORE UK GILTS UCITS ETF GBP (DIST),ISHARES II PLC,SP,IGLT.L,Fixed Income
ITPS,ISHARES USD TIPS UCITS ETF USD (ACC),ISHARES II PLC,SP,ITPS.L,Fixed Income
