Mnemonic,Long Name,Issuer Name,Security Type,Ticker
JNKS,SPDR BBARC 0-5 YR US HIGH YIELD BOND,SSGA SPDR ETFS EUROPE I PLC,SP,JNKS.L
WOSC,SPDR MSCI WORLD SMALL CAP UCITS ETF,SSGA SPDR ETFS EUROPE II PLC,SP,WOSC.L
LOWE,SPDR EURO STOXX LOW VOLATILITY UCITS ETF,SSGA SPDR ETFS EUROPE II PLC,SP,LOWE.L
R2SC,SPDR RUSSELL 2000 US SMALL CAP ETF,SSGA SPDR ETFS EUROPE II PLC,SP,R2SC.L
SEMH,SPDR ICE BOFA 0-5 YR US GOV BOND UCITS,SSGA SPDR ETFS EUROPE II PLC,SP,SEMH.L
UVAL,SPDR MSCI USA VALUE ETF,SSGA SPDR ETFS EUROPE II PLC,SP,UVAL.L
GIN,SPDR MORNINGSTAR GLOB INFRASTRUCTURE ETF,SSGA SPDR ETFS EUROPE II PLC,SP,GIN.L
EURL,SPDR FTSE EPRA EUR EX UK RE,SSGA SPDR ETFS EUROPE I PLC,SP,EURL.L
USTY,SPDR BBARC  US TREAS BOND ETF,SSGA SPDR ETFS EUROPE I PLC,SP,USTY.L
LCRP,SPDR BBARC  10+ US CORP BD UCITS ETF,SSGA SPDR ETFS EUROPE I PLC,SP,LCRP.L
UTIP,SPDR BBARC US TIPS UCITS ETF,SSGA SPDR ETFS EUROPE I PLC,SP,UTIP.L
VDCP,VANGUARD USD CORPORATE BOND UCITS ETF,VANGUARD FUNDS PLC,SP,VDCP.L
VDTY,VANGUARD USD TREASURY BOND UCITS ETF,VANGUARD FUNDS PLC,SP,VDTY.L
VEUD,VANGUARD FTSE DEVELOPED EUROPE UCITS ETF,VANGUARD FUNDS PLC,SP,VEUD.L
VDET,VANGUARD USD EM GOV'T BOND UCITS ETF,VANGUARD FUNDS PLC,SP,VDET.L
FUQA,US QUALITY INCOME UCITS ETF GBP ACC,FIDELITY UCITS ICAV,SP,FUQA.L
FGQD,GLOBAL QUALITY INCOME UCITS ETF GBP INC,FIDELITY UCITS ICAV,SP,FGQD.L
FUSI,US QUALITY INCOME UCITS ETF GBP INC,FIDELITY UCITS ICAV,SP,FUSI.L
FLXG,FRK LIBERTYQ GLOBAL EQUITY SRI UCITS ETF,FRANKLIN LIBERTYSHARES ICAV,SP,FLXG.L
FLXD,FRK LIBERTYQ EUROPEAN DIVIDEND UCITS ETF,FRANKLIN LIBERTYSHARES ICAV,SP,FLXD.L
FLXX,FRK LIBERTYQ GLOBAL DIVIDEND UCITS ETF,FRANKLIN LIBERTYSHARES ICAV,SP,FLXX.L
FLXU,FRK LIBERTYQ U.S. EQUITY UCITS ETF,FRANKLIN LIBERTYSHARES ICAV,SP,FLXU.L
FREM,FRK LIBERTYQ EMERGING MARKETS UCITS ETF,FRANKLIN LIBERTYSHARES ICAV,SP,FREM.L
FEMQ,EM QUALITY INCOME UCITS GBP ACC,FIDELITY UCITS ICAV,SP,FEMQ.L
GLBL,SPDR BARC BLOOM GLOBAL AGG UCITS ETF,SSGA SPDR ETFS EUROPE I PLC,SP,GLBL.L
JPMB,JPM USD EM SOVEREIGN BOND UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JPMB.L
JE13,JPM EUR GOVT BOND 1-3 YR UCITS ETF (ACC),JPMORGAN ETFS (IRELAND) ICAV,SP,JE13.L
XSCS,X MSCI USA CONS STPLS DR 1D,XTRACKERS (IE) PLC,SP,XSCS.L
XSCD,X MSCI USA CONS DISCR DR 1D,XTRACKERS (IE) PLC,SP,XSCD.L
XSEN,X MSCI USA ENERGY DR 1D,XTRACKERS (IE) PLC,SP,XSEN.L
XSFN,X MSCI USA FINANCIALS DR 1D,XTRACKERS (IE) PLC,SP,XSFN.L
XSHC,X MSCI USA HEALTH DR 1D,XTRACKERS (IE) PLC,SP,XSHC.L
XSTC,X MSCI USA IT DR 1D,XTRACKERS (IE) PLC,SP,XSTC.L
GLCB,SPDR REFINITIV GLOB CONV BOND UCITS ETF,SSGA SPDR ETFS EUROPE II PLC,SP,GLCB.L
VUSC,VANGUARD USDCORP 1-3 YR BOND UCITS ETF,VANGUARD FUNDS PLC,SP,VUSC.L
JU13,BETABUILDERS US TSRY BD 1-3YR UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JU13.L
FRUC,FRK LIB USD IG CORP BOND UCITS ETF,FRANKLIN LIBERTYSHARES ICAV,SP,FRUC.L
FRXE,FRK LIB EURO SHORT MATURITY UCITS ETF,FRANKLIN LIBERTYSHARES ICAV,SP,FRXE.L
GXLC,SPDR S&P US COMM SERV UCITS ETF,SSGA SPDR ETFS EUROPE II PLC,SP,GXLC.L
FREQ,FRK LIBERTYQ EUROPEAN EQUITY UCITS ETF,FRANKLIN LIBERTYSHARES ICAV,SP,FREQ.L
FRQX,FRK LIBERTYQ AC ASIA EX JAPAN UCITS ETF,FRANKLIN LIBERTYSHARES ICAV,SP,FRQX.L
TR3G,IVZ US TRES BND 1-3Y UCITS ETF DST GBX,INVESCO MARKETS II PLC,SP,TR3G.L
TR7G,IVZ US TRES BND 3-7Y UCITS ETF DST GBX,INVESCO MARKETS II PLC,SP,TR7G.L
TRXG,IVZ US TRES BND 7-10Y UCITS ETF DST GBX,INVESCO MARKETS II PLC,SP,TRXG.L
TRSG,IVZ US TREASURY BND UCITS ETF DST GBX,INVESCO MARKETS II PLC,SP,TRSG.L
VSCA,VANGUARD USD CORP 1-3 YEAR BD UCITS ETF,VANGUARD FUNDS PLC,SP,VSCA.L
VCPA,VANGUARD USD CORP BD UCITS ETF,VANGUARD FUNDS PLC,SP,VCPA.L
VEMA,VANGUARD USD EMG MKTS GOV BD UCITS ETF,VANGUARD FUNDS PLC,SP,VEMA.L
VUTA,VANGUARD USD TREASURY BD UCITS ETF,VANGUARD FUNDS PLC,SP,VUTA.L
SWLD,SPDR MSCI WORLD UCITS ETF,SSGA SPDR ETFS EUROPE I PLC,SP,SWLD.L
FVUG,FRK LIBE EURO GREEN BOND UCITS ETF,FRANKLIN LIBERTYSHARES ICAV,SP,FVUG.L
VUAG,VANGUARD S&P 500 UCITS ETF,VANGUARD FUNDS PLC,SP,VUAG.L
FVUB,FRK FTSE BRAZIL UCITS ETF,FRANKLIN LIBERTYSHARES ICAV,SP,FVUB.L
FRCH,FRK FTSE CHINA UCITS ETF,FRANKLIN LIBERTYSHARES ICAV,SP,FRCH.L
FLRK,FRK FTSE KOREA UCITS ETF,FRANKLIN LIBERTYSHARES ICAV,SP,FLRK.L
FRIN,FRK FTSE INDIA UCITS ETF,FRANKLIN LIBERTYSHARES ICAV,SP,FRIN.L
VWRP,VANGUARD FTSE ALL-WORLD UCITS ETF,VANGUARD FUNDS PLC,SP,VWRP.L
VNRG,VANGUARD FTSE NORTH AMERICA UCITS ETF,VANGUARD FUNDS PLC,SP,VNRG.L
VEUA,VANGUARD FTSE DEVELOPED EUROPE UCITS ETF,VANGUARD FUNDS PLC,SP,VEUA.L
VERG,VANGUARD FTSE DEV EUROPE EX UK UCITS ETF,VANGUARD FUNDS PLC,SP,VERG.L
VJPB,VANGUARD FTSE JAPAN UCITS ETF,VANGUARD FUNDS PLC,SP,VJPB.L
VHVG,VANGUARD FTSE DEVELOPED WORLD UCITS ETF,VANGUARD FUNDS PLC,SP,VHVG.L
VDPG,VANGUARD FTSE DEVAPAC EXJAPAN UCITS ETF,VANGUARD FUNDS PLC,SP,VDPG.L
VHYG,VANGUARD FTSE ALLWRLD HIDIVYLD UCITS ETF,VANGUARD FUNDS PLC,SP,VHYG.L
VFEG,VANGUARD FTSE EMERGING MARKETS UCITS ETF,VANGUARD FUNDS PLC,SP,VFEG.L
TRIS,IVZ US TREA BOND 0-1 YEAR ETF DIST,INVESCO MARKETS II PLC,SP,TRIS.L
T1AP,IVZ US TREAS BOND 0-1 YEAR ETF ACC,INVESCO MARKETS II PLC,SP,T1AP.L
FUSS,SUSTAIN RESEARCH ENHD US EQY UTS ETF ACC,FIDELITY UCITS ICAV,SP,FUSS.L
FGLS,SUSTAIN RES ENCAED GBL EQTY UCTS ETF ACC,FIDELITY UCITS ICAV,SP,FGLS.L
JPMF,JPM MANAGED FUTURES UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JPMF.L
JPST,JPM USD ULTRA-SHORT INCOME UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JPST.L
5HEP,OSSIAM ETF SHILLER ESG LC US SECTOR GBX,OSSIAM IRL ICAV,SP,5HEP.L
JEST,JPM EUR ULTRA-SHORT INCOME UCITS ETF ACC,JPMORGAN ETFS (IRELAND) ICAV,SP,JEST.L
JREG,JPM GLOBAL REI EQ (ESG) UCITS ETF (ACC),JPMORGAN ETFS (IRELAND) ICAV,SP,JREG.L
JREU,JPM US REI EQ (ESG) UCITS ETF (ACC),JPMORGAN ETFS (IRELAND) ICAV,SP,JREU.L
JREE,JPM EUROPE REI EQ (ESG) UCITS ETF (ACC),JPMORGAN ETFS (IRELAND) ICAV,SP,JREE.L
JRUB,JPM USD CORP BOND REI UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JRUB.L
JREM,JPM EMERGING MKTS REI EQ (ESG) UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JREM.L
JREB,JPM EUR CORP BOND REI UCITS ETF,JPMORGAN ETFS (IRELAND) ICAV,SP,JREB.L
