Mnemonic,Long Name,Issuer Name,Security Type,Ticker,Asset_Class,Geography
NJXE,NOMURA JPXNIKKEI400 NETTR D-EUR HD UCITS,NOMURA NEXT FUNDS IRELAND PLC,SP,NJXE.L,Global Equity,Europe
NJXU,NOMURA JPXNIKKEI400 NETTR D-USD HD UCITS,NOMURA NEXT FUNDS IRELAND PLC,SP,NJXU.L,Global Equity,US
CSH2,LYXOR SMART CASH UCITS ETF C-GBP,LYXOR INDEX FUND,SP,CSH2.L,Cash,Cash
MVAE,LYX ETF FTSE EURO MINI VARIANCE ACC,MULTI UNITS LUXEMBOURG,SP,MVAE.L,Global Equity,Europe
UC93,UBSETF MSCI SWITZERLAND HDG TO GBP A-ACC,UBS ETF,SP,UC93.L,Global Equity,UK
UC94,UBSETF MSCI SWITZERLAND HDG TO GBP A-DIS,UBS ETF,SP,UC94.L,Global Equity,UK
FEDF,LYX ETF FED FUNDS US CASH ACC,MULTI UNITS LUXEMBOURG,SP,FEDF.L,Cash,Cash
UCAP,OSSIAM ETF SHILLER BARCLAYS CAPE US-USD,OSSIAM LUX,SP,UCAP.L,Global Equity,US
JPSR,UBSETF MSCI JAPAN SOC. RESPON. JPY A-DIS,UBS ETF,SP,JPSR.L,Global Equity,Japan
USEF,MS US EQUITY FACTORS UCITS ETF,FUNDLOGIC ALTERNATIVES PLC,SP,USEF.L,Global Equity,US
SGQX,LYXOR SGQI UCITS ETF MTHLY HDGD C-GBP,MULTI UNITS LUXEMBOURG,SP,SGQX.L,Global Equity,UK
UC97,UBSETF BLM BARC US LIQ CRP SUS USD A-DIS,UBS ETF,SP,UC97.L,Fixed Income,US
USIG,LYX ETF US LIQ IG CORP BDS DIS,LYXOR INDEX FUND,SP,USIG.L,Fixed Income,US
UD02,UBSETF FACTOR M. EMU LOW VOL. EUR A-DIS,UBS ETF,SP,UD02.L,Global Equity,Europe
UD03,UBSETF FACTOR EMU PRIME VAL. EUR A-DIS,UBS ETF,SP,UD03.L,Global Equity,Europe
UD04,UBSETF FACTOR EMU QUALITY EUR A-DIS,UBS ETF,SP,UD04.L,Global Equity,Europe
UC95,UBSETF FACTOR M. USA LOW VOL. USD A-DIS,UBS (IRL) ETF PLC,SP,UC95.L,Global Equity,US
UC96,UBSETF FACTOR USA PRIME VALUE USD A-DIS,UBS (IRL) ETF PLC,SP,UC96.L,Global Equity,US
UC99,UBSETF FACTOR USA QUALITY USD A-DIS,UBS (IRL) ETF PLC,SP,UC99.L,Global Equity,US
